No,FECHA ,ALCALDÍA,GIRO,DENOMINACIÓN,DILIGENCIA
1,3/26/2020,CUAUHTEMOC,VENTA DE BEBIDAS ALCOHOLICAS EN ENVASE ABIERTO O AL COPEO,DRUNKENDOG,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
2,3/27/2020,CUAUHTEMOC,VENTA DE BEBIDAS ALCOHOLICAS EN ENVASE ABIERTO O AL COPEO,R18,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
3,4/1/2020,CUAUHTEMOC,VENTA DE BEBIDAS ALCOHOLICAS EN ENVASE ABIERTO O AL COPEO,LA BURRA BLANCA,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
4,4/6/2020,CUAUHTEMOC,VENTA DE COSMETICOS,RENOVA PRICE,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
5,4/6/2020,CUAUHTEMOC,VENTA DE APARATOS ELECTRÓNICOS,SHOCK ELECTRONICS,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
6,4/7/2020,CUAUHTEMOC,VENTA DE BICICLETAS,BENOTTO,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
7,4/7/2020,CUAUHTEMOC,VENTA DE BICICLETAS,BENOTTO,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
8,4/8/2020,BENITO JUAREZ,VENTA DE PISOS LAMINADOS,LLANO DE LA TORRE,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
9,4/9/2020,CUAUHTEMOC,VENTA DE ARTÍCULOS ELECTRÓNICOS,LA CASA DEL PROYECTOR,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
10,4/14/2020,CUAUHTEMOC,REFACCIONES,FERRELLIR,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
11,4/14/2020,CUAUHTEMOC,VENTA DE ARTÍCULOS DE ILUMINACIÓN Y ELECTRÓNICA,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
12,4/15/2020,CUAUHTEMOC,VENTA DE TELAS,TEXTILERIA AUTENTICA DEL CENTRO,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
13,4/16/2020,CUAUHTEMOC,ESTACIONAMIENTO PUBLICO,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
14,4/16/2020,CUAUHTEMOC,VENTA DE BISUTERÍA,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
15,4/16/2020,CUAUHTEMOC,VENTA DE BISUTERÍA,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
16,4/16/2020,CUAUHTEMOC,VENTA DE BISUTERÍA,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
17,4/17/2020,CUAUHTEMOC,VENTA DE PAPEL Y CARTÓN,PAPELES PRESAS,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
18,4/17/2020,CUAUHTEMOC,DISTRIBUIDORA PAPELERA,PAPELERIA LOZANO,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
19,4/17/2020,CUAUHTEMOC,VENTA DE ROPA,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
20,4/17/2020,CUAUHTEMOC,INSUMOS ELECTRICOS,ELECTROILUMINACION,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
21,4/17/2020,CUAUHTEMOC,VENTA DE MUEBLES,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
22,4/20/2020,XOCHIMILCO,VENTA DE TELAS,TELAS PARISINA,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
23,4/20/2020,CUAUHTEMOC,COSMÉTICOS,DAHT,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
